state_alpha,county_name,county_ansi,state_fips_code,year,commodity_desc,short_desc,value
SD,CUSTER,033,46,2012,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",1592000
SD,CUSTER,033,46,2012,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",294000
SD,CUSTER,033,46,2012,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",2029000
SD,CUSTER,033,46,2012,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",1554000
SD,DAVISON,035,46,2007,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",628000
SD,DAVISON,035,46,2007,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",262000
SD,DAVISON,035,46,2007,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",3359000
SD,DAVISON,035,46,2007,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",1100000
SD,DAVISON,035,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",7413000
SD,DAVISON,035,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",6491000
SD,DAVISON,035,46,2007,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",921000
SD,DAVISON,035,46,2007,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",2904000
SD,DAVISON,035,46,2007,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",5823000
SD,DAVISON,035,46,2007,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",54184000
SD,DAVISON,035,46,2007,FEED,"FEED - EXPENSE, MEASURED IN $",6293000
SD,DAVISON,035,46,2007,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",6617000
SD,DAVISON,035,46,2007,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",3198000
SD,DAVISON,035,46,2007,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",3081000
SD,DAVISON,035,46,2007,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",1374000
SD,DAVISON,035,46,2007,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",1707000
SD,DAVISON,035,46,2007,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",118000
SD,DAVISON,035,46,2007,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",1487000
SD,DAVISON,035,46,2007,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",834000
SD,DAVISON,035,46,2007,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",119000
SD,DAVISON,035,46,2007,RENT,"RENT, CASH, LAND & BUILDINGS - EXPENSE, MEASURED IN $",7176000
SD,DAVISON,035,46,2007,SEEDS & PLANTS TOTALS,"SEEDS & PLANTS TOTALS - EXPENSE, MEASURED IN $",4984000
SD,DAVISON,035,46,2007,SUPPLIES & REPAIRS,"SUPPLIES & REPAIRS, (EXCL LUBRICANTS) - EXPENSE, MEASURED IN $",3863000
SD,DAVISON,035,46,2007,TAXES,"TAXES, PROPERTY, REAL ESTATE & NON-REAL ESTATE, (EXCL PAID BY LANDLORD) - EXPENSE, MEASURED IN $",1701000
SD,DAVISON,035,46,2012,AG SERVICES,"AG SERVICES, CUSTOMWORK - EXPENSE, MEASURED IN $",1311000
SD,DAVISON,035,46,2012,AG SERVICES,"AG SERVICES, MACHINERY RENTAL - EXPENSE, MEASURED IN $",507000
SD,DAVISON,035,46,2012,AG SERVICES,"AG SERVICES, OTHER - EXPENSE, MEASURED IN $",4120000
SD,DAVISON,035,46,2012,AG SERVICES,"AG SERVICES, UTILITIES - EXPENSE, MEASURED IN $",1192000
SD,DAVISON,035,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS - EXPENSE, MEASURED IN $",7601000
SD,DAVISON,035,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, (EXCL BREEDING) - EXPENSE, MEASURED IN $",6432000
SD,DAVISON,035,46,2012,ANIMAL TOTALS,"ANIMAL TOTALS, BREEDING - EXPENSE, MEASURED IN $",1169000
SD,DAVISON,035,46,2012,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",5595000
SD,DAVISON,035,46,2012,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",10141000
